1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Assets,Date,Ticker, Price ,Number of stocks, Bought , Bought Amount ,Total number bought,Total Amount bought,Sold,Sold Amount,Total Sold number of stocks,Total sold amount,Average sell price, Average buy price , Realized Profit , Current Amount 
"AXCELIS TECHNOLOGIES, INC. (XNAS:ACLS)",15-Jul-24,ACLS, $148.90 ,3.00, 3.00 , 446.70 ,7,898.38,0.00, $-   ,7.00, $423.29 , $60.47 , $128.34 , $(475.09), -   
SS SPDR Bbg 1-3 Mo T-Bll (ARCX:BIL),21-Jul-24,BIL, $91.67 ,-10.00, -   , -   ,419,38555.52,-10.00, $(916.70),419.00," $38,372.00 ", $91.58 , $92.02 , $(183.52), -   
SS SPDR Bbg 1-3 Mo T-Bll (ARCX:BIL),18-Jul-24,BIL, $91.64 ,11.00, 11.00 ," 1,008.04 ",419,38555.52,0.00, $-   ,419.00," $38,372.00 ", $91.58 , $92.02 , $(183.52), -   
"THE GEO GROUP, INC. (XNYS:GEO)",16-Jul-24,GEO, $17.75 ,-5.00, -   , -   ,30,426,-5.00, $(88.75),30.00, $487.75 , $16.26 , $14.20 , $61.75 , -   
REALTY INCOME CORPORATION (XNYS:O),16-Jul-24,O, $55.97 ,-1.00, -   , -   ,15,778.95,-1.00, $(55.97),15.00, $821.21 , $54.75 , $51.93 , $42.26 , -   
ASP ISOTOPES INC. (XNAS:ASPI),16-Jul-24,ASPI, $3.83 ,-319.00, -   , -   ,1599,6817.87,-319.00," $(1,221.77)",1499.00," $8,055.17 ", $5.37 , $4.26 ," $1,663.68 ", 100.00 
"PAYPAL HOLDINGS, INC. (XNAS:PYPL)",16-Jul-24,PYPL, $61.20 ,-20.00, -   , -   ,223,14862.05,-20.00," $(1,224.00)",222.00," $15,255.44 ", $68.72 , $66.65 , $460.04 , 1.00 
TELLURIAN INC. (XNYS:TELL),16-Jul-24,TELL, $0.65 ,-400.00, -   , -   ,800,518.96,-400.00, $(260.00),800.00, $632.00 , $0.79 , $0.65 , $113.04 , -   
CVS HEALTH CORPORATION (XNYS:CVS),16-Jul-24,CVS, $60.21 ,-19.00, -   , -   ,104,6111.46,-19.00," $(1,143.99)",104.00," $6,244.59 ", $60.04 , $58.76 , $133.13 , -   
SS SPDR Bbg 1-3 Mo T-Bll (ARCX:BIL),16-Jul-24,BIL, $91.61 ,-10.00, -   , -   ,419,38555.52,-10.00, $(916.10),419.00," $38,372.00 ", $91.58 , $92.02 , $(183.52), -   
"ROBINHOOD MARKETS, INC. (XNAS:HOOD)",16-Jul-24,HOOD, $25.84 ,2.00, 2.00 , 51.68 ,105,4056.09,0.00, $-   ,80.00," $2,255.43 ", $28.19 , $38.63 , $(834.92), 25.00 
"SilverBow Resources, Inc. (XNYS:SBOW)",16-Jul-24,SBOW, $38.83 ,-15.00, -   , -   ,52.03,1648.8343,-15.00, $(582.45),52.03," $1,395.63 ", $26.82 , $31.69 , $(253.21), -   
